央视,#genre#
CCTV11,http://gslbserv.itv.cmvideo.cn:80/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV11,http://gslbserv.itv.cmvideo.cn:80/5000000006000040011/1.m3u8?channel-id=bestzb&Contentid=5000000006000040011&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV11,http://gslbserv.itv.cmvideo.cn:80/1000000002000019789/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV12,http://gslbserv.itv.cmvideo.cn:80/6000000001000022586/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022586&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV12,http://gslbserv.itv.cmvideo.cn:80/1000000001000032494/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV12,http://gslbserv.itv.cmvideo.cn:80/5000000011000031107/1.m3u8?channel-id=bestzb&Contentid=5000000011000031107&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV12,http://gslbserv.itv.cmvideo.cn:80/1000000005000265012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV12,http://gslbserv.itv.cmvideo.cn:80/1000000001000001640/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001640&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV12,http://gslbserv.itv.cmvideo.cn:80/5000000006000040012/1.m3u8?channel-id=bestzb&Contentid=5000000006000040012&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV13,http://gslbserv.itv.cmvideo.cn:80/5000000011000031108/1.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV13,http://gslbserv.itv.cmvideo.cn:80/5000000005000001827/1.m3u8?channel-id=bestzb&Contentid=5000000005000001827&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV13,http://gslbserv.itv.cmvideo.cn:80/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV14,http://gslbserv.itv.cmvideo.cn:80/6000000001000013647/1.m3u8?channel-id=wasusyt&Contentid=6000000001000013647&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV14,http://gslbserv.itv.cmvideo.cn:80/5000000004000006673/1.m3u8?channel-id=bestzb&Contentid=5000000004000006673&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV14,http://gslbserv.itv.cmvideo.cn:80/1000000001000008170/1.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV14,http://gslbserv.itv.cmvideo.cn:80/1000000005000265013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV14,http://gslbserv.itv.cmvideo.cn:80/5000000010000023358/1.m3u8?channel-id=bestzb&Contentid=5000000010000023358&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV14,http://gslbserv.itv.cmvideo.cn:80/1000000001000021349/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021349&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV15,http://gslbserv.itv.cmvideo.cn:80/5000000011000031109/1.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV15,http://gslbserv.itv.cmvideo.cn:80/1000000005000265014/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV15,http://gslbserv.itv.cmvideo.cn:80/1000000002000008163/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV16,http://gslbserv.itv.cmvideo.cn:80/5000000008000023253/1.m3u8?channel-id=bestzb&Contentid=5000000008000023253&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV16,http://gslbserv.itv.cmvideo.cn:80/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV16,http://gslbserv.itv.cmvideo.cn:80/1000000006000233001/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233001&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV17,http://gslbserv.itv.cmvideo.cn:80/1000000006000268004/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268004&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV17,http://gslbserv.itv.cmvideo.cn:80/1000000005000265015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV17,http://gslbserv.itv.cmvideo.cn:80/1000000005000056836/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=00C162BCF121424093F6E86555DC98EF
CCTV1,http://180.105.201.25:55555/gaoma/cctv1.m3u8
CCTV1,http://115.171.216.237:9999/gaoma/cctv1.m3u8
CCTV1,http://hbat.top:9999/gaoma/cctv1.m3u8
CCTV1,http://150.230.58.91:5001/gaoma/cctv1.m3u8
CCTV1,http://hangfun.top:35455/gaoma/cctv1.m3u8
CCTV1,http://101.201.102.244:5000/gaoma/cctv1.m3u8
CCTV1,http://101.204.99.205:9999/gaoma/cctv1.m3u8
CCTV1,http://3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV1,http://36.99.150.39:1234/gaoma/cctv1.m3u8
CCTV1,http://101.26.101.123:88/gaoma/cctv1.m3u8
CCTV1,http://www.3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV1,http://223.166.74.11:10030/gaoma/cctv1.m3u8
CCTV1,http://xiaorf.cn:35455/gaoma/cctv1.m3u8
CCTV1,http://121.62.29.168:35455/gaoma/cctv1.m3u8
CCTV1,http://117.28.162.148:8111/gaoma/cctv1.m3u8
CCTV1,http://61.140.160.60:9001/gaoma/cctv1.m3u8
CCTV1,http://122.193.117.12:10020/gaoma/cctv1.m3u8
CCTV1,http://112.67.71.160:6001/gaoma/cctv1.m3u8
CCTV1,http://27.207.69.80:8888/gaoma/cctv1.m3u8
CCTV1,http://222.186.59.78:10080/gaoma/cctv1.m3u8
CCTV1,http://112.74.115.68:35455/gaoma/cctv1.m3u8
CCTV1,http://58.23.194.214:8888/gaoma/cctv1.m3u8
CCTV1,http://182.125.113.14:12345/gaoma/cctv1.m3u8
CCTV1,http://115.49.117.110:8888/gaoma/cctv1.m3u8
CCTV1,http://liushizupu.site:35455/gaoma/cctv1.m3u8
CCTV2,http://180.105.201.25:55555/gaoma/cctv2.m3u8
CCTV2,http://hbat.top:9999/gaoma/cctv2.m3u8
CCTV2,http://115.171.216.237:9999/gaoma/cctv2.m3u8
CCTV2,http://150.230.58.91:5001/gaoma/cctv2.m3u8
CCTV2,http://hangfun.top:35455/gaoma/cctv2.m3u8
CCTV2,http://3501776.xyz:35455/gaoma/cctv2.m3u8
CCTV2,http://www.3501776.xyz:35455/gaoma/cctv2.m3u8
CCTV2,http://101.201.102.244:5000/gaoma/cctv2.m3u8
CCTV2,http://101.26.101.123:88/gaoma/cctv2.m3u8
CCTV2,http://36.99.150.39:1234/gaoma/cctv2.m3u8
CCTV2,http://101.204.99.205:9999/gaoma/cctv2.m3u8
CCTV2,http://xiaorf.cn:35455/gaoma/cctv2.m3u8
CCTV2,http://223.166.74.11:10030/gaoma/cctv2.m3u8
CCTV2,http://121.62.29.168:35455/gaoma/cctv2.m3u8
CCTV2,http://61.140.160.60:9001/gaoma/cctv2.m3u8
CCTV2,http://122.193.117.12:10020/gaoma/cctv2.m3u8
CCTV2,http://117.28.162.148:8111/gaoma/cctv2.m3u8
CCTV2,http://112.67.71.160:6001/gaoma/cctv2.m3u8
CCTV2,http://222.186.59.78:10080/gaoma/cctv2.m3u8
CCTV2,http://27.207.69.80:8888/gaoma/cctv2.m3u8
CCTV2,http://58.23.194.214:8888/gaoma/cctv2.m3u8
CCTV2,http://115.49.117.110:8888/gaoma/cctv2.m3u8
CCTV2,http://112.74.115.68:35455/gaoma/cctv2.m3u8
CCTV2,http://182.125.113.14:12345/gaoma/cctv2.m3u8
